Variable,monkey,array,PCs,thr_factor,event_binsize,min_eyes_closed,subtract_mean,muae_filter,correlation_threshold,P-value
MUA,A,10,1&2,-,0.1,1,-,-,0.1,0.1678
MUA,A,10,2&3,-,0.5,0,-,-,0,0.0694
MUA,A,10,3&4,-,1,4,-,-,0,0.0628
MUA,A,11,1&2,-,0.1,0,-,-,0,0.0692
MUA,A,11,2&3,-,0.1,0,-,-,0,0.185
MUA,A,11,3&4,-,3,4,-,-,0,0.2384
MUA,L,11,1&2,-,0.5,30,-,-,0.1,0.4344
MUA,L,11,2&3,-,0.1,0,-,-,0.1,0.1898
MUA,L,11,3&4,-,3,60,-,-,0.1,0.0026
MUA,L,13,1&2,-,3,60,-,-,0.1,0.0016
MUA,L,13,2&3,-,0.5,30,-,-,0.1,0.0008
MUA,L,13,3&4,-,0.1,30,-,-,0.1,0.0002
MUAe,A,10,1&2,-,-,4,True,-1,0.1,0.1024
MUAe,A,10,2&3,-,-,0,True,50,0.1,0.0128
MUAe,A,10,3&4,-,-,4,False,-1,0.1,0.3628
MUAe,A,11,1&2,-,-,4,True,-1,0.1,0.001
MUAe,A,11,2&3,-,-,0,False,50,0.1,0.0324
MUAe,A,11,3&4,-,-,0,False,-1,0.1,0.0978
MUAe,L,11,1&2,-,-,30,False,-1,0.1,0.0006
MUAe,L,11,2&3,-,-,0,False,-1,0.1,0.0782
MUAe,L,11,3&4,-,-,30,True,5,0.1,0
MUAe,L,13,1&2,-,-,0,False,-1,0.1,0.0036
MUAe,L,13,2&3,-,-,30,False,-1,0.1,0.0166
MUAe,L,13,3&4,-,-,0,False,-1,0.1,0.598
LFP,A,10,1&2,-,1,4,True,-,0.1,0.0862
LFP,A,10,2&3,-,3,0,True,-,0.1,0.0092
LFP,A,10,3&4,-,3,1,False,-,0.1,0.0204
LFP,A,11,1&2,-,0.5,1,True,-,0.1,0.184
LFP,A,11,2&3,-,0.5,0,True,-,0.1,0.0692
LFP,A,11,3&4,-,3,0,True,-,0.1,0.4214
LFP,L,11,1&2,-,3,60,-,-,0.1,0.4198
LFP,L,11,2&3,-,3,60,-,-,0.1,0.067
LFP,L,11,3&4,-,3,60,-,-,0.1,0.5284
LFP,L,13,1&2,-,3,60,-,-,0.1,0.0344
LFP,L,13,2&3,-,3,60,-,-,0.1,0.0012
LFP,L,13,3&4,-,3,60,-,-,0.1,0.7632
nLFP,A,10,1&2,-3,1,4,False,-,0.1,0.053
nLFP,A,10,2&3,-1,0.1,4,True,-,0.1,0.0462
nLFP,A,10,3&4,-1,3,0,False,-,0.1,0.0228
nLFP,A,11,1&2,-1,0.1,4,False,-,0.1,0.107
nLFP,A,11,2&3,-1,1,0,False,-,0.1,0.0026
nLFP,A,11,3&4,-3,1,4,True,-,0.1,0.0042
nLFP,L,11,1&2,-2,1,0,False,-,0.1,0.0194
nLFP,L,11,2&3,-1,0.1,60,True,-,0.1,0.0006
nLFP,L,11,3&4,-1,0.1,60,True,-,0.1,0.0368
nLFP,L,13,1&2,-3,1,30,True,-,0.1,0.0848
nLFP,L,13,2&3,-3,0.1,60,False,-,0.1,0.0282
nLFP,L,13,3&4,-3,60,0,True,-,0.1,0.0008
